event_id,cell_id,condition,position,actor_id,generation_seed,probability,reason,attempts,elapsed_seconds,prompt_tokens,output_tokens
2,prior_0.3_signals_10010,central_full,2,central_full_analyst,1194035987,0.42,Signals suggest moderate disagreement,1,5.3698622999945655,314,16
2,prior_0.3_signals_10010,central_full,3,central_full_analyst,1492722220,0.46,Signals update prior with reliability weights,1,5.901193500030786,334,18
2,prior_0.3_signals_10010,central_full,4,central_full_analyst,859401182,0.42,Mixed signals with moderate reliability adjust prior probability.,1,6.617087600054219,353,21
2,prior_0.3_signals_10010,central_full,5,central_full_analyst,627041524,0.37,Signals balance with higher reliability NO signals outweighing YES signals.,1,7.266857899958268,373,24
3,prior_0.7_signals_01011,market,1,agent_1,1806503311,0.55,Signal reduces confidence in public probability.,1,5.819378099986352,313,19
3,prior_0.7_signals_01011,market,2,agent_2,884990780,0.63,Signal updates prior with reliability,1,6.151222400018014,341,17
3,prior_0.7_signals_01011,market,3,agent_3,446266295,0.56,Signal reduces public probability,1,6.640824800007977,370,16
3,prior_0.7_signals_01011,market,4,agent_4,1090620586,0.68,Signal updates prior with reliability,1,7.3603982999920845,398,17
3,prior_0.7_signals_01011,market,5,agent_5,615922409,0.76,Signal updates prior with reliability,1,7.890862099942751,427,17
3,prior_0.7_signals_01011,central_full,1,central_full_analyst,1806503311,0.65,Signal NO reduces probability from prior.,1,5.625432100030594,292,19
3,prior_0.7_signals_01011,central_full,2,central_full_analyst,884990780,0.67,Combined signals slightly favor YES,1,5.4973039999604225,314,17
3,prior_0.7_signals_01011,central_full,3,central_full_analyst,446266295,0.62,Balances prior with conflicting signals,1,5.905220900080167,334,18
3,prior_0.7_signals_01011,central_full,4,central_full_analyst,1090620586,0.67,Balanced signals with moderate reliability adjust prior toward 0.67.,1,7.186203200020827,353,27
3,prior_0.7_signals_01011,central_full,5,central_full_analyst,615922409,0.69,More reliable signals lean toward YES.,1,6.839545599999838,373,19
3,prior_0.7_signals_01011,central_compact,1,central_compact_analyst,1806503311,0.62,Signal reduces probability due to reliability,1,5.571548399981111,305,18
3,prior_0.7_signals_01011,central_compact,2,central_compact_analyst,884990780,0.66,Signal increases probability from 0.62 to 0.66,1,7.039171900018118,333,27
3,prior_0.7_signals_01011,central_compact,3,central_compact_analyst,446266295,0.61,New signal slightly lowers probability,1,6.583402499905787,362,17
3,prior_0.7_signals_01011,central_compact,4,central_compact_analyst,1090620586,0.66,Signal increases probability due to reliability,1,7.398014400037937,390,18
3,prior_0.7_signals_01011,central_compact,5,central_compact_analyst,615922409,0.72,Signal increases probability due to reliability,1,7.890478800050914,419,18
4,prior_0.4_signals_01110,central_full,1,central_full_analyst,1230479031,0.32,Signal NO reduces probability,1,5.3554040000308305,292,16
4,prior_0.4_signals_01110,central_full,2,central_full_analyst,579306340,0.47,Combined signals adjust prior with reliability weights.,1,5.790506899938919,314,20
4,prior_0.4_signals_01110,central_full,3,central_full_analyst,169233463,0.58,Signals update prior with reliability-weighted evidence.,1,6.235809599980712,334,21
4,prior_0.4_signals_01110,central_full,4,central_full_analyst,1493587443,0.67,More reliable signals support YES.,1,6.312601600075141,353,18
4,prior_0.4_signals_01110,central_full,5,central_full_analyst,308469735,0.62,Most signals favor YES but reliability varies.,1,6.879878300009295,373,20
4,prior_0.4_signals_01110,central_compact,1,central_compact_analyst,1230479031,0.34,Signal reduces probability due to reliability.,1,5.643808700027876,305,19
4,prior_0.4_signals_01110,central_compact,2,central_compact_analyst,579306340,0.41,Signal increases probability from 0.34 to 0.41.,1,7.186903199995868,333,28
4,prior_0.4_signals_01110,central_compact,3,central_compact_analyst,169233463,0.47,Signal increases probability from 0.41 to 0.47.,1,7.858723499928601,362,28
4,prior_0.4_signals_01110,central_compact,4,central_compact_analyst,1493587443,0.54,Signal increases probability due to reliability,1,7.423028300050646,390,18
4,prior_0.4_signals_01110,central_compact,5,central_compact_analyst,308469735,0.51,New signal slightly lowers probability,1,7.846382900024764,419,17
4,prior_0.4_signals_01110,market,1,agent_1,1230479031,0.32,Signal weakens public probability,1,5.644996199989691,313,17
4,prior_0.4_signals_01110,market,2,agent_2,579306340,0.46,Signal updates prior with reliability-weighted evidence.,1,6.577174800098874,341,21
4,prior_0.4_signals_01110,market,3,agent_3,169233463,0.57,Signal updates prior with reliability,1,6.722202399978414,370,17
4,prior_0.4_signals_01110,market,4,agent_4,1493587443,0.66,Signal updates prior with reliability-adjusted evidence.,1,7.745963699999265,398,21
4,prior_0.4_signals_01110,market,5,agent_5,308469735,0.59,Signal NO updates prior with reliability 0.75.,1,8.757302700076252,427,24
5,prior_0.5_signals_01011,central_compact,1,central_compact_analyst,1294051725,0.625,Signal increases probability from 0.5 to 0.625.,1,6.661171399988234,304,29
5,prior_0.5_signals_01011,central_compact,2,central_compact_analyst,1171025602,0.714,Signal updates prior to 0.625,1,6.6935993999941275,335,23
5,prior_0.5_signals_01011,central_compact,3,central_compact_analyst,518861608,0.667,New signal slightly lowers probability,1,6.789012199966237,366,18
5,prior_0.5_signals_01011,central_compact,4,central_compact_analyst,1148255778,0.714,Signal adds moderate support to YES,1,7.53041080001276,396,19
5,prior_0.5_signals_01011,central_compact,5,central_compact_analyst,1979068330,0.672,New signal slightly lowers probability,1,8.090173400007188,427,18
5,prior_0.5_signals_01011,market,1,agent_4,1294051725,0.62,Signal increases probability from 0.5 to 0.62,1,6.420185699942522,312,26
5,prior_0.5_signals_01011,market,2,agent_5,1171025602,0.74,Signal updates prior with reliability,1,6.136806200025603,341,17
5,prior_0.5_signals_01011,market,3,agent_1,518861608,0.66,Signal weakens public probability,1,6.692390999989584,370,17
5,prior_0.5_signals_01011,market,4,agent_2,1148255778,0.72,Signal updates public probability with reliability-adjusted weight.,1,7.8762828001054,398,22
5,prior_0.5_signals_01011,market,5,agent_3,1979068330,0.67,Signal weakens public probability,1,7.89835390006192,427,17
5,prior_0.5_signals_01011,central_full,1,central_full_analyst,1294051725,0.7,Signal YES with reliability 0.7 updates prior 0.5 to 0.7.,1,6.825697600026615,291,31
5,prior_0.5_signals_01011,central_full,2,central_full_analyst,1171025602,0.77,Two reliable signals support YES.,1,5.5582472999813035,313,18
5,prior_0.5_signals_01011,central_full,3,central_full_analyst,518861608,0.64,Signals update prior with reliability-weighted evidence.,1,6.377262599999085,334,21
5,prior_0.5_signals_01011,central_full,4,central_full_analyst,1148255778,0.68,Multiple YES signals outweigh NO signal.,1,6.416286600055173,353,19
5,prior_0.5_signals_01011,central_full,5,central_full_analyst,1979068330,0.62,More NO signals balance YES signals.,1,6.3227469000266865,373,19
6,prior_0.4_signals_00000,market,1,agent_2,325728219,0.32,Signal reduces probability due to reliability,1,5.416003399994224,312,18
6,prior_0.4_signals_00000,market,2,agent_3,51636359,0.26,Signal weakens public probability,1,5.762073799967766,341,17
6,prior_0.4_signals_00000,market,3,agent_4,1185743274,0.21,Signal suggests lower probability,1,6.118058899999596,369,16
6,prior_0.4_signals_00000,market,4,agent_5,729757080,0.15,Signal NO updates prior with reliability 0.75,1,7.174536400008947,398,23
6,prior_0.4_signals_00000,market,5,agent_1,648920504,0.11,Signal reduces probability due to reliability,1,7.199475800036453,427,18
6,prior_0.4_signals_00000,central_full,1,central_full_analyst,325728219,0.32,Signal NO reduces probability from prior.,1,5.2902655999641865,291,19
6,prior_0.4_signals_00000,central_full,2,central_full_analyst,51636359,0.26,Two NO signals reduce probability from prior.,1,5.446963700000197,314,20
6,prior_0.4_signals_00000,central_full,3,central_full_analyst,1185743274,0.34,Multiple NO signals increase uncertainty,1,5.488227800000459,333,17
6,prior_0.4_signals_00000,central_full,4,central_full_analyst,729757080,0.22,Multiple NO signals increase NO likelihood,1,5.878774399985559,353,18
6,prior_0.4_signals_00000,central_full,5,central_full_analyst,648920504,0.18,Multiple reliable signals indicate NO.,1,6.166220300015993,373,18
6,prior_0.4_signals_00000,central_compact,1,central_compact_analyst,325728219,0.32,Signal NO reduces probability from 0.4 to 0.32.,1,6.199272700003348,304,28
6,prior_0.4_signals_00000,central_compact,2,central_compact_analyst,51636359,0.28,Signal NO updates prior with reliability 0.65,1,6.31167500000447,333,23
6,prior_0.4_signals_00000,central_compact,3,central_compact_analyst,1185743274,0.24,New signal NO with reliability 0.7 updates probability from 0.28 to 0.24.,1,7.762138599995524,361,36
6,prior_0.4_signals_00000,central_compact,4,central_compact_analyst,729757080,0.21,Signal NO updates prior,1,6.375756299938075,390,16
6,prior_0.4_signals_00000,central_compact,5,central_compact_analyst,648920504,0.17,Signal NO updates probability,1,6.886920399963856,419,16
7,prior_0.6_signals_00011,central_full,1,central_full_analyst,1035361322,0.48,Signal NO reduces probability from prior.,1,5.310756399994716,291,19
7,prior_0.6_signals_00011,central_full,2,central_full_analyst,171864018,0.38,Two NO signals with moderate reliability lower the probability,1,5.576474700006656,314,21
7,prior_0.6_signals_00011,central_full,3,central_full_analyst,1494504501,0.54,Signals update prior with NO and YES evidence.,1,5.8906087999930605,333,21
7,prior_0.6_signals_00011,central_full,4,central_full_analyst,1136357998,0.63,More reliable signals lean toward YES.,1,6.252508600009605,353,19
7,prior_0.6_signals_00011,central_full,5,central_full_analyst,795393541,0.67,Most signals lean NO but some YES signals have higher reliability.,1,6.768684400012717,373,24
7,prior_0.6_signals_00011,central_compact,1,central_compact_analyst,1035361322,0.52,Signal reduces probability by 8%.,1,5.542582900030538,304,20
7,prior_0.6_signals_00011,central_compact,2,central_compact_analyst,171864018,0.48,Signal NO updates prior to 0.52.,1,6.230881299939938,333,23
7,prior_0.6_signals_00011,central_compact,3,central_compact_analyst,1494504501,0.56,Signal increases probability from 0.48 to 0.56.,1,7.0137471000198275,361,28
7,prior_0.6_signals_00011,central_compact,4,central_compact_analyst,1136357998,0.62,Signal increases probability due to reliability,1,6.629169399966486,390,18
7,prior_0.6_signals_00011,central_compact,5,central_compact_analyst,795393541,0.56,Signal NO reduces probability,1,6.869257800048217,419,16
7,prior_0.6_signals_00011,market,1,agent_2,1035361322,0.48,Signal reduces confidence in NO.,1,5.384059100062586,312,18
7,prior_0.6_signals_00011,market,2,agent_3,171864018,0.37,Signal reduces probability due to reliability,1,5.806360300048254,341,18
7,prior_0.6_signals_00011,market,3,agent_4,1494504501,0.52,Signal updates prior with reliability,1,6.16051159997005,369,17
7,prior_0.6_signals_00011,market,4,agent_5,1136357998,0.63,Signal updates prior with reliability-adjusted evidence.,1,7.019374499912374,398,21
7,prior_0.6_signals_00011,market,5,agent_1,795393541,0.54,Signal weakens public probability,1,7.058955600019544,427,17
8,prior_0.5_signals_01000,central_compact,1,central_compact_analyst,1306227229,0.477,Signal slightly favors NO over YES.,1,5.441539700026624,305,20
8,prior_0.5_signals_01000,central_compact,2,central_compact_analyst,1511473500,0.545,Signal increases probability from 0.477 to 0.545,1,6.908489300054498,335,30
8,prior_0.5_signals_01000,central_compact,3,central_compact_analyst,1460161952,0.512,Signal NO updates probability,1,6.1463434000033885,366,17
8,prior_0.5_signals_01000,central_compact,4,central_compact_analyst,1941577432,0.488,New signal slightly lowers probability,1,6.690306500066072,396,18
8,prior_0.5_signals_01000,central_compact,5,central_compact_analyst,1231228937,0.452,New signal NO with reliability 0.75 reduces probability,1,7.88248220004607,427,25
8,prior_0.5_signals_01000,market,1,agent_1,1306227229,0.45,Signal weakens public probability,1,5.209906799951568,313,17
8,prior_0.5_signals_01000,market,2,agent_2,1511473500,0.56,Signal updates prior with reliability,1,6.022557299933396,341,20
8,prior_0.5_signals_01000,market,3,agent_3,1460161952,0.49,Signal weakens public probability,1,6.252156600006856,370,17
8,prior_0.5_signals_01000,market,4,agent_4,1941577432,0.42,Signal NO with reliability 0.7 reduces probability,1,7.322739099967293,398,22
8,prior_0.5_signals_01000,market,5,agent_5,1231228937,0.34,Signal NO with reliability 0.75 lowers probability,1,7.696932499995455,427,23
8,prior_0.5_signals_01000,central_full,1,central_full_analyst,1306227229,0.45,Signal NO reduces probability from prior.,1,5.401103900047019,292,19
8,prior_0.5_signals_01000,central_full,2,central_full_analyst,1511473500,0.57,Balances reliable signals with prior.,1,5.373853800003417,314,19
8,prior_0.5_signals_01000,central_full,3,central_full_analyst,1460161952,0.48,More NO signals outweigh YES signal.,1,5.954238899983466,334,19
8,prior_0.5_signals_01000,central_full,4,central_full_analyst,1941577432,0.42,More NO signals outweigh prior.,1,6.3680095000891015,353,18
8,prior_0.5_signals_01000,central_full,5,central_full_analyst,1231228937,0.38,Most signals indicate NO with higher reliability.,1,6.885057499981485,373,20
9,prior_0.5_signals_01101,market,1,agent_1,1434247908,0.45,Signal slightly favors NO over YES.,1,6.223798000020906,313,19
9,prior_0.5_signals_01101,market,2,agent_2,957497058,0.56,Signal increases probability from 0.45 to 0.56.,1,8.05703370005358,341,28
9,prior_0.5_signals_01101,market,3,agent_3,1791836242,0.66,Signal increases probability from 0.56 to 0.66,1,8.241976500023156,370,27
9,prior_0.5_signals_01101,market,4,agent_4,128898392,0.59,Signal NO updates prior with reliability 0.7.,1,8.4250915000448,398,23
9,prior_0.5_signals_01101,market,5,agent_5,1707285118,0.67,Signal updates prior with reliability,1,8.290443400037475,427,17
9,prior_0.5_signals_01101,central_full,1,central_full_analyst,1434247908,0.45,Signal NO reduces probability from prior.,1,5.84284309996292,292,19
9,prior_0.5_signals_01101,central_full,2,central_full_analyst,957497058,0.57,Balances reliable signals with prior,1,5.54680000001099,314,18
9,prior_0.5_signals_01101,central_full,3,central_full_analyst,1791836242,0.63,More reliable signals support YES.,1,5.940550699946471,334,18
9,prior_0.5_signals_01101,central_full,4,central_full_analyst,128898392,0.58,More reliable signals lean toward YES but balance with NO signals.,1,6.898476899950765,353,24
9,prior_0.5_signals_01101,central_full,5,central_full_analyst,1707285118,0.63,More reliable signals lean toward YES.,1,7.188691599993035,373,19
9,prior_0.5_signals_01101,central_compact,1,central_compact_analyst,1434247908,0.477,Signal slightly favors NO over YES.,1,5.723516600090079,305,20
9,prior_0.5_signals_01101,central_compact,2,central_compact_analyst,957497058,0.545,Signal increases probability from 0.477 to 0.545,1,7.551265500020236,335,30
9,prior_0.5_signals_01101,central_compact,3,central_compact_analyst,1791836242,0.583,Signal increases probability from 0.545 with reliability 0.65,1,7.688384799985215,366,30
9,prior_0.5_signals_01101,central_compact,4,central_compact_analyst,128898392,0.526,New signal slightly favors NO,1,6.794875100022182,396,18
9,prior_0.5_signals_01101,central_compact,5,central_compact_analyst,1707285118,0.615,Signal increases probability from 0.526 with reliability 0.75.,1,8.465464600012638,427,31
10,prior_0.4_signals_10010,central_full,1,central_full_analyst,1054784336,0.28,Signal NO reduces probability from prior.,1,5.360595999984071,293,19
10,prior_0.4_signals_10010,central_full,2,central_full_analyst,3889562,0.46,Combined signals adjust prior towards YES,1,5.346164799993858,316,18
10,prior_0.4_signals_10010,central_full,3,central_full_analyst,498323982,0.42,Signals update prior with reliability weights,1,5.5447728000581264,335,18
10,prior_0.4_signals_10010,central_full,4,central_full_analyst,409400270,0.38,Most signals indicate NO with varying reliability.,1,6.101610100013204,355,20
10,prior_0.4_signals_10010,central_full,5,central_full_analyst,1223384810,0.47,Signals suggest moderate support for YES.,1,6.3183185999514535,374,19
10,prior_0.4_signals_10010,central_compact,1,central_compact_analyst,1054784336,0.32,Signal NO reduces probability,1,5.102526900009252,306,16
10,prior_0.4_signals_10010,central_compact,2,central_compact_analyst,3889562,0.37,Signal slightly increases probability,1,5.580951799987815,335,16
10,prior_0.4_signals_10010,central_compact,3,central_compact_analyst,498323982,0.31,New signal slightly lowers probability,1,6.08404630003497,363,17
10,prior_0.4_signals_10010,central_compact,4,central_compact_analyst,409400270,0.27,New signal slightly lowers probability,1,6.5085294001037255,392,17
10,prior_0.4_signals_10010,central_compact,5,central_compact_analyst,1223384810,0.34,New signal increases probability,1,6.983691899920814,420,16
10,prior_0.4_signals_10010,market,1,agent_5,1054784336,0.29,Signal reduces probability due to reliability,1,5.346295999945141,314,18
10,prior_0.4_signals_10010,market,2,agent_1,3889562,0.37,Signal increases probability from prior,1,5.742723400006071,343,17
10,prior_0.4_signals_10010,market,3,agent_2,498323982,0.31,Signal weakens public probability,1,6.172455699997954,371,17
10,prior_0.4_signals_10010,market,4,agent_3,409400270,0.25,Signal weakens prior evidence.,1,6.788692400092259,400,18
10,prior_0.4_signals_10010,market,5,agent_4,1223384810,0.34,Signal updates prior with reliability-adjusted weight.,1,7.486353699932806,428,21
11,prior_0.7_signals_00010,central_compact,1,central_compact_analyst,1990496512,0.64,Signal reduces probability due to reliability,1,5.2740858000470325,305,18
11,prior_0.7_signals_00010,central_compact,2,central_compact_analyst,753667774,0.61,New signal slightly lowers probability,1,5.729083300102502,334,17
11,prior_0.7_signals_00010,central_compact,3,central_compact_analyst,1668925805,0.66,Signal increases probability from 0.61 to 0.66,1,7.053303999942727,362,27
11,prior_0.7_signals_00010,central_compact,4,central_compact_analyst,1372603784,0.62,Signal NO updates probability,1,6.428592199925333,391,16
11,prior_0.7_signals_00010,central_compact,5,central_compact_analyst,1399509180,0.57,New signal slightly lowers probability,1,6.992433700012043,420,17
11,prior_0.7_signals_00010,market,1,agent_2,1990496512,0.57,Signal reduces confidence in public probability.,1,5.544260399998166,313,19
11,prior_0.7_signals_00010,market,2,agent_3,753667774,0.51,Signal weakens prior belief,1,5.749957300024107,342,17
11,prior_0.7_signals_00010,market,3,agent_4,1668925805,0.64,Signal updates prior with reliability,1,6.246075100032613,370,17
11,prior_0.7_signals_00010,market,4,agent_5,1372603784,0.56,Signal weakens public probability,1,6.603070999961346,399,17
11,prior_0.7_signals_00010,market,5,agent_1,1399509180,0.49,Signal weakens public probability,1,7.093421500059776,428,17
11,prior_0.7_signals_00010,central_full,1,central_full_analyst,1990496512,0.62,Signal NO reduces probability from prior.,1,5.313903599977493,292,19
11,prior_0.7_signals_00010,central_full,2,central_full_analyst,753667774,0.56,Two NO signals with moderate reliability lower the probability from the prior.,1,5.873151900013909,315,25
11,prior_0.7_signals_00010,central_full,3,central_full_analyst,1668925805,0.64,Prior adjusted with mixed signal reliability,1,5.5673526000464335,334,18
11,prior_0.7_signals_00010,central_full,4,central_full_analyst,1372603784,0.58,Most signals lean NO but some YES signals exist.,1,6.206017900025472,354,22
11,prior_0.7_signals_00010,central_full,5,central_full_analyst,1399509180,0.48,Most signals indicate NO with varying reliability.,1,6.395821999991313,374,20
12,prior_0.6_signals_01011,market,1,agent_5,1119250429,0.75,Signal increases probability from 0.6 to 0.75.,1,6.266040900023654,314,27
12,prior_0.6_signals_01011,market,2,agent_1,1398653736,0.62,Signal weakens public probability,1,5.731408599996939,343,17
12,prior_0.6_signals_01011,market,3,agent_2,2090041735,0.68,Signal updates prior with reliability,1,6.178072699927725,371,17
12,prior_0.6_signals_01011,market,4,agent_3,189477964,0.58,Signal weakens public probability.,1,6.759525199886411,400,18
12,prior_0.6_signals_01011,market,5,agent_4,375830387,0.65,Signal updates prior with reliability,1,7.126063200063072,428,17
12,prior_0.6_signals_01011,central_full,1,central_full_analyst,1119250429,0.76,Signal increases probability from prior,1,5.166301499935798,293,17
12,prior_0.6_signals_01011,central_full,2,central_full_analyst,1398653736,0.67,Combines prior with signals,1,5.223516099969856,316,17
12,prior_0.6_signals_01011,central_full,3,central_full_analyst,2090041735,0.64,Combined signals adjust prior probability,1,5.637059499975294,335,17
12,prior_0.6_signals_01011,central_full,4,central_full_analyst,189477964,0.58,Balanced signals with mixed reliability adjust prior towards 0.58.,1,6.725150700076483,355,27
12,prior_0.6_signals_01011,central_full,5,central_full_analyst,375830387,0.62,More reliable signals lean toward YES.,1,6.3072623000480235,374,19
12,prior_0.6_signals_01011,central_compact,1,central_compact_analyst,1119250429,0.72,Signal increases probability from 0.6 to 0.72.,1,6.078640599967912,306,27
12,prior_0.6_signals_01011,central_compact,2,central_compact_analyst,1398653736,0.66,Signal slightly lowers probability,1,5.613829799927771,335,16
12,prior_0.6_signals_01011,central_compact,3,central_compact_analyst,2090041735,0.69,Signal increases probability from 0.66 to 0.69.,1,7.076235300046392,363,28
12,prior_0.6_signals_01011,central_compact,4,central_compact_analyst,189477964,0.63,New signal slightly lowers probability,1,6.537904600030743,392,17
12,prior_0.6_signals_01011,central_compact,5,central_compact_analyst,375830387,0.68,Signal increases probability by 0.05,1,7.356751999934204,420,21
13,prior_0.5_signals_11100,central_full,1,central_full_analyst,967957206,0.55,Signal matches YES with 55% reliability.,1,5.677282199962065,293,22
13,prior_0.5_signals_11100,central_full,2,central_full_analyst,1216234950,0.63,Two YES signals with moderate reliability increase probability,1,5.467591800028458,315,20
13,prior_0.5_signals_11100,central_full,3,central_full_analyst,2080247125,0.76,Multiple reliable signals support YES.,1,5.590484300046228,335,18
13,prior_0.5_signals_11100,central_full,4,central_full_analyst,484217470,0.64,Multiple YES signals with varying reliability outweigh a single NO signal.,1,6.396911400021054,354,24
13,prior_0.5_signals_11100,central_full,5,central_full_analyst,632323368,0.57,More NO signals outweigh YES signals.,1,6.28058839996811,374,19
13,prior_0.5_signals_11100,central_compact,1,central_compact_analyst,967957206,0.525,Signal slightly increases probability,1,5.195890199975111,306,17
13,prior_0.5_signals_11100,central_compact,2,central_compact_analyst,1216234950,0.575,Signal increases probability by 0.05,1,6.1201753000495955,336,22
13,prior_0.5_signals_11100,central_compact,3,central_compact_analyst,2080247125,0.625,Signal increases probability by 0.05,1,6.585675199981779,367,22
13,prior_0.5_signals_11100,central_compact,4,central_compact_analyst,484217470,0.583,New signal slightly lowers probability,1,6.756069299997762,397,18
13,prior_0.5_signals_11100,central_compact,5,central_compact_analyst,632323368,0.546,Signal NO updates probability down,1,7.327843699953519,428,18
13,prior_0.5_signals_11100,market,1,agent_1,967957206,0.52,Signal slightly increases probability,1,5.255739100044593,314,16
13,prior_0.5_signals_11100,market,2,agent_2,1216234950,0.62,Signal increases probability from 0.52 to 0.62,1,6.690297699999064,342,27
13,prior_0.5_signals_11100,market,3,agent_3,2080247125,0.72,Signal updates public probability with reliability,1,6.474159699981101,371,18
13,prior_0.5_signals_11100,market,4,agent_4,484217470,0.66,Signal weakens public probability,1,6.690349700045772,399,17
13,prior_0.5_signals_11100,market,5,agent_5,632323368,0.57,Signal NO with reliability 0.75 updates public probability from 0.66 to 0.57.,1,8.962730400031433,428,37
14,prior_0.3_signals_00110,central_compact,1,central_compact_analyst,265761119,0.25,Signal NO reduces probability,1,5.100663000019267,305,16
14,prior_0.3_signals_00110,central_compact,2,central_compact_analyst,2086457894,0.34,Signal increases probability from 0.25 to 0.34,1,6.5336036999942735,334,27
14,prior_0.3_signals_00110,central_compact,3,central_compact_analyst,262996555,0.45,Signal increases probability from 0.34 to 0.45,1,6.979939299984835,362,27
14,prior_0.3_signals_00110,central_compact,4,central_compact_analyst,1127101112,0.38,New signal reduces probability,1,6.452855800045654,391,16
14,prior_0.3_signals_00110,central_compact,5,central_compact_analyst,1968601539,0.32,New signal slightly lowers probability,1,7.014367500087246,420,17
14,prior_0.3_signals_00110,market,1,agent_2,265761119,0.24,Signal reduces probability due to reliability,1,5.41469920007512,313,18
14,prior_0.3_signals_00110,market,2,agent_3,2086457894,0.37,Signal increases probability,1,5.552203299943358,342,15
14,prior_0.3_signals_00110,market,3,agent_4,262996555,0.52,Signal updates prior with reliability,1,6.212018099962734,370,17
14,prior_0.3_signals_00110,market,4,agent_5,1127101112,0.47,Signal reduces probability due to reliability,1,6.758479700074531,399,18
14,prior_0.3_signals_00110,market,5,agent_1,1968601539,0.41,Signal reduces probability due to reliability,1,7.203426800086163,428,18
14,prior_0.3_signals_00110,central_full,1,central_full_analyst,265761119,0.24,Signal NO reduces probability from prior.,1,5.3060752999736,292,19
14,prior_0.3_signals_00110,central_full,2,central_full_analyst,2086457894,0.46,Signals suggest moderate support for YES with updated calibration.,1,5.626127400086261,315,22
14,prior_0.3_signals_00110,central_full,3,central_full_analyst,262996555,0.62,Signals suggest higher probability,1,5.3637578000780195,334,16
14,prior_0.3_signals_00110,central_full,4,central_full_analyst,1127101112,0.58,Balanced signals with mixed reliability adjust prior towards uncertainty.,1,6.332036799984053,354,23
14,prior_0.3_signals_00110,central_full,5,central_full_analyst,1968601539,0.47,Most signals lean NO but prior suggests YES,1,6.381462499964982,374,20
